"feature","factor","value","view"
"DDX3Y","Factor1",0.532347738742828,"Transcriptomics"
"KDM5D","Factor1",0.743770658969879,"Transcriptomics"
"CISH","Factor1",0.014443963766098,"Transcriptomics"
"C1orf146","Factor1",0.063470296561718,"Transcriptomics"
"DDAH2","Factor1",0.0114569077268243,"Transcriptomics"
"MRPS17","Factor1",-0.118227854371071,"Transcriptomics"
"RAC3","Factor1",0.0571504011750221,"Transcriptomics"
"TMEM132B","Factor1",1.1224946975708,"Transcriptomics"
"GPR182","Factor1",0.118955470621586,"Transcriptomics"
"COCH","Factor1",-0.00718355225399137,"Transcriptomics"
"RNASEH2A","Factor1",-0.00519895879551768,"Transcriptomics"
"AMIGO2","Factor1",0.0265799015760422,"Transcriptomics"
"LCMT2","Factor1",-0.12276204675436,"Transcriptomics"
"PMP2","Factor1",-0.0931209847331047,"Transcriptomics"
"FOXM1","Factor1",0.0669855028390884,"Transcriptomics"
"SPEM1","Factor1",-0.0639340355992317,"Transcriptomics"
"COMP","Factor1",-0.207549765706062,"Transcriptomics"
"ACAN","Factor1",-0.194844469428062,"Transcriptomics"
"RP1","Factor1",-0.332025796175003,"Transcriptomics"
"SLC4A1","Factor1",0.376042455434799,"Transcriptomics"
"RPL10L","Factor1",-0.42046594619751,"Transcriptomics"
"SCD","Factor1",-0.436908632516861,"Transcriptomics"
"PCDH11X","Factor1",-0.765402555465698,"Transcriptomics"
"ANKRD1","Factor1",0.177346408367157,"Transcriptomics"
"MYH3","Factor1",0.134617239236832,"Transcriptomics"
"CYP2E1","Factor1",-0.619480609893799,"Transcriptomics"
"CHAD","Factor1",-0.107562877237797,"Transcriptomics"
"LEP","Factor1",0.083629883825779,"Transcriptomics"
"CALML3","Factor1",-0.269571095705032,"Transcriptomics"
"SCUBE3","Factor1",-0.124458096921444,"Transcriptomics"
"UGT8","Factor1",-0.120226725935936,"Transcriptomics"
"KHK","Factor1",-0.0218176431953907,"Transcriptomics"
"VAT1L","Factor1",-0.161559239029884,"Transcriptomics"
"PRDM6","Factor1",-0.175954356789589,"Transcriptomics"
"SPATA6L","Factor1",0.0186188574880362,"Transcriptomics"
"KCNF1","Factor1",0.0729178488254547,"Transcriptomics"
"PCBD1","Factor1",0.0970086306333542,"Transcriptomics"
"G0S2","Factor1",0.50127649307251,"Transcriptomics"
"BDNF","Factor1",-0.23209148645401,"Transcriptomics"
"ADD2","Factor1",0.37345826625824,"Transcriptomics"
"RETN","Factor1",0.123199239373207,"Transcriptomics"
"MCHR1","Factor1",0.467615097761154,"Transcriptomics"
"SLC16A13","Factor1",-0.112108372151852,"Transcriptomics"
"SOSTDC1","Factor1",-0.169310599565506,"Transcriptomics"
"VIPR1","Factor1",0.0990035757422447,"Transcriptomics"
"ANKEF1","Factor1",-0.257564306259155,"Transcriptomics"
"ALOX15","Factor1",0.273478329181671,"Transcriptomics"
"PCK1","Factor1",-0.211824625730515,"Transcriptomics"
"FA2H","Factor1",-0.119198352098465,"Transcriptomics"
"GJB1","Factor1",-0.0506519377231598,"Transcriptomics"
"MZF1","Factor1",-0.188620522618294,"Transcriptomics"
"GRAMD1C","Factor1",-0.0292935632169247,"Transcriptomics"
"CILP2","Factor1",-0.16463203728199,"Transcriptomics"
"NCMAP","Factor1",-0.0532284080982208,"Transcriptomics"
"SPNS3","Factor1",-0.263973772525787,"Transcriptomics"
"LRRC52","Factor1",-0.316275805234909,"Transcriptomics"
"MPZ","Factor1",-0.153380379080772,"Transcriptomics"
"EPCAM","Factor1",-0.387942910194397,"Transcriptomics"
"NPY","Factor1",0.334151357412338,"Transcriptomics"
"ACTG2","Factor1",-0.0733625069260597,"Transcriptomics"
"NOX1","Factor1",0.157262191176414,"Transcriptomics"
"RD3L","Factor1",-0.0626475065946579,"Transcriptomics"
"RGS17","Factor1",0.352480173110962,"Transcriptomics"
"PMFBP1","Factor1",0.268026113510132,"Transcriptomics"
"RNF112","Factor1",-0.203241586685181,"Transcriptomics"
"TFRC","Factor1",0.641845643520355,"Transcriptomics"
"S100A9","Factor1",0.325114279985428,"Transcriptomics"
"CCR7","Factor1",0.0929256603121758,"Transcriptomics"
"KIAA2012","Factor1",0.113937631249428,"Transcriptomics"
"CCNB2","Factor1",-0.144923731684685,"Transcriptomics"
"OXTR","Factor1",-0.128487303853035,"Transcriptomics"
"BRICD5","Factor1",-0.00203044712543488,"Transcriptomics"
"FOS","Factor1",-0.0981346666812897,"Transcriptomics"
"SCUBE1","Factor1",-0.145046412944794,"Transcriptomics"
"LY9","Factor1",-0.0516507066786289,"Transcriptomics"
"CLDN19","Factor1",-0.0860955640673637,"Transcriptomics"
"UTS2R","Factor1",-0.022804070264101,"Transcriptomics"
"LRRC15","Factor1",0.0757742524147034,"Transcriptomics"
"NR4A3","Factor1",-0.0203908514231443,"Transcriptomics"
"PRRT4","Factor1",-0.0224588625133038,"Transcriptomics"
"PCARE","Factor1",0.737870037555695,"Transcriptomics"
"FAM131C","Factor1",0.447908461093903,"Transcriptomics"
"FBXL19","Factor1",-0.10825627297163,"Transcriptomics"
"LAMB3","Factor1",0.459094971418381,"Transcriptomics"
"GDPD3","Factor1",0.165804669260979,"Transcriptomics"
"DHRS9","Factor1",-0.19925956428051,"Transcriptomics"
"SCN5A","Factor1",-0.122444875538349,"Transcriptomics"
"CYP2B6","Factor1",0.193497091531754,"Transcriptomics"
"KCNK1","Factor1",-0.0796717181801796,"Transcriptomics"
"ANGPTL7","Factor1",0.0228263158351183,"Transcriptomics"
"SELL","Factor1",0.395307302474976,"Transcriptomics"
"PLET1","Factor1",-0.0142794549465179,"Transcriptomics"
"FOSB","Factor1",0.0412406772375107,"Transcriptomics"
"GINS2","Factor1",-0.0342391207814217,"Transcriptomics"
"RYR2","Factor1",-0.133327290415764,"Transcriptomics"
"DRP2","Factor1",-0.217810750007629,"Transcriptomics"
"MAG","Factor1",-0.15584634244442,"Transcriptomics"
