"feature_set","factor","pval","padj","sign","view"
"PE","Factor1",3.50956275798284e-17,4.91338786117597e-16,"negative","Metabolomics"
"LPC","Factor1",4.16443756202047e-09,5.83021258682866e-08,"positive","Metabolomics"
"PC","Factor1",0.0117718857281004,0.0412016000483513,"negative","Metabolomics"
"LPE","Factor1",0.0183993110477871,0.0643975886672549,"positive","Metabolomics"
"SM","Factor1",0.0143905325689527,0.0643975886672549,"positive","Metabolomics"
"DG","Factor1",0.0750705890059223,0.137604279070066,"negative","Metabolomics"
"TG","Factor1",0.0786310166114662,0.137604279070066,"negative","Metabolomics"
"Dipeptides","Factor1",0.0496364801712797,0.138982144479583,"positive","Metabolomics"
"O-PC","Factor1",0.10380717594906,0.207614351898119,"positive","Metabolomics"
"Amino acids","Factor1",0.531512700200574,0.572398292523695,"positive","Metabolomics"
"O-PE","Factor1",0.678363675820495,0.730545497037456,"negative","Metabolomics"
"Acyl carnitines","Factor1",0.75736278200636,0.75736278200636,"negative","Metabolomics"
"TG","Factor1",0.820061617228773,0.820061617228773,"positive","Metabolomics"
"Acyl carnitines","Factor1",1,1,"positive","Metabolomics"
"C24 Bile acids","Factor1",1,1,"positive","Metabolomics"
"DG","Factor1",1,1,"positive","Metabolomics"
"O-PE","Factor1",1,1,"positive","Metabolomics"
"PC","Factor1",1,1,"positive","Metabolomics"
"PE","Factor1",1,1,"positive","Metabolomics"
"Unsaturated FA","Factor1",1,1,"positive","Metabolomics"
"Amino acids","Factor1",1,1,"negative","Metabolomics"
"C24 Bile acids","Factor1",1,1,"negative","Metabolomics"
"Dipeptides","Factor1",1,1,"negative","Metabolomics"
"LPC","Factor1",1,1,"negative","Metabolomics"
"LPE","Factor1",1,1,"negative","Metabolomics"
"O-PC","Factor1",1,1,"negative","Metabolomics"
"SM","Factor1",1,1,"negative","Metabolomics"
"Unsaturated FA","Factor1",1,1,"negative","Metabolomics"
"O-PC","Factor10",2.58136216905529e-08,3.6139070366774e-07,"positive","Metabolomics"
"O-PE","Factor10",7.21102554242971e-05,0.00050477178797008,"positive","Metabolomics"
"LPC","Factor10",0.00645619729099588,0.0301289206913141,"positive","Metabolomics"
"Amino acids","Factor10",0.0119424582565539,0.167194415591754,"negative","Metabolomics"
"Acyl carnitines","Factor10",0.147554303082577,0.275070265049189,"negative","Metabolomics"
"DG","Factor10",0.15078972759948,0.275070265049189,"negative","Metabolomics"
"PE","Factor10",0.177205286877902,0.275652668476737,"positive","Metabolomics"
"LPE","Factor10",0.403207049958189,0.564489869941465,"positive","Metabolomics"
"LPE","Factor10",0.523871159241215,0.611183019114751,"negative","Metabolomics"
"PC","Factor10",0.492833741283405,0.611183019114751,"negative","Metabolomics"
"TG","Factor10",0.701916996342729,0.766576024157452,"positive","Metabolomics"
"Unsaturated FA","Factor10",0.685096942192247,0.766576024157452,"positive","Metabolomics"
"TG","Factor10",0.875262373742001,0.875262373742001,"negative","Metabolomics"
"Acyl carnitines","Factor10",1,1,"positive","Metabolomics"
"Amino acids","Factor10",1,1,"positive","Metabolomics"
"C24 Bile acids","Factor10",1,1,"positive","Metabolomics"
"DG","Factor10",1,1,"positive","Metabolomics"
"Dipeptides","Factor10",1,1,"positive","Metabolomics"
"PC","Factor10",1,1,"positive","Metabolomics"
"SM","Factor10",1,1,"positive","Metabolomics"
"C24 Bile acids","Factor10",1,1,"negative","Metabolomics"
"Dipeptides","Factor10",1,1,"negative","Metabolomics"
"LPC","Factor10",1,1,"negative","Metabolomics"
"O-PC","Factor10",1,1,"negative","Metabolomics"
"O-PE","Factor10",1,1,"negative","Metabolomics"
"PE","Factor10",1,1,"negative","Metabolomics"
"SM","Factor10",1,1,"negative","Metabolomics"
"Unsaturated FA","Factor10",1,1,"negative","Metabolomics"
"O-PC","Factor2",0.047839117350582,0.17443194043207,"negative","Metabolomics"
"O-PE","Factor2",0.0498376972663057,0.17443194043207,"negative","Metabolomics"
"Dipeptides","Factor2",0.101672638411155,0.28733193523775,"positive","Metabolomics"
"LPE","Factor2",0.102618548299196,0.28733193523775,"positive","Metabolomics"
"Unsaturated FA","Factor2",0.0678029552480296,0.28733193523775,"positive","Metabolomics"
"LPC","Factor2",0.182562184350048,0.3246495001945,"positive","Metabolomics"
