"feature_set","factor","pval","padj","sign","view"
"PE","Factor1",3.50956275798284e-17,4.91338786117597e-16,"negative","Metabolomics"
"LPC","Factor1",4.16443756202047e-09,5.83021258682866e-08,"positive","Metabolomics"
"PC","Factor1",0.0117718857281004,0.0412016000483513,"negative","Metabolomics"
"O-PC","Factor10",2.58136216905529e-08,3.6139070366774e-07,"positive","Metabolomics"
"O-PE","Factor10",7.21102554242971e-05,0.00050477178797008,"positive","Metabolomics"
"LPC","Factor10",0.00645619729099588,0.0301289206913141,"positive","Metabolomics"
"PE","Factor3",6.80060144657073e-17,9.52084202519903e-16,"negative","Metabolomics"
"LPE","Factor3",1.23098769819195e-13,1.72338277746873e-12,"positive","Metabolomics"
"PC","Factor3",2.63996108902805e-05,0.000184797276231963,"negative","Metabolomics"
"LPC","Factor3",0.00121817935924293,0.00568483700980034,"positive","Metabolomics"
"O-PC","Factor3",0.00109054694537881,0.00568483700980034,"positive","Metabolomics"
"TG","Factor4",3.62373267924309e-115,5.07322575094033e-114,"positive","Metabolomics"
"PC","Factor4",2.9047599254339e-28,4.06666389560747e-27,"negative","Metabolomics"
"PE","Factor4",1.7720238211133e-06,8.26944449852874e-06,"negative","Metabolomics"
"O-PE","Factor4",2.76214282175874e-06,9.66749987615561e-06,"negative","Metabolomics"
"O-PC","Factor4",9.2858796621149e-06,2.16670525449348e-05,"negative","Metabolomics"
"SM","Factor4",0.00166234171437457,0.00332468342874913,"negative","Metabolomics"
"O-PC","Factor5",6.51665743748861e-24,9.12332041248405e-23,"negative","Metabolomics"
"PE","Factor5",1.0148588305589e-08,1.42080236278246e-07,"positive","Metabolomics"
"PC","Factor5",7.3153380313761e-07,5.12073662196327e-06,"positive","Metabolomics"
"LPE","Factor5",6.70285439867801e-05,0.000312799871938307,"positive","Metabolomics"
"LPC","Factor5",9.03776286096e-05,0.0003163217001336,"positive","Metabolomics"
"LPE","Factor6",7.11908605353814e-06,9.96672047495339e-05,"negative","Metabolomics"
"O-PC","Factor6",6.29638180380579e-05,0.000490542942451383,"positive","Metabolomics"
"Amino acids","Factor6",0.000251859140554769,0.00117534265592226,"positive","Metabolomics"
"TG","Factor6",0.000679034941057609,0.00350958328381785,"negative","Metabolomics"
"PE","Factor6",0.0111852467936008,0.0382250629648621,"positive","Metabolomics"
"O-PE","Factor6",0.0184463198475163,0.043041412977538,"positive","Metabolomics"
"O-PE","Factor7",6.37210809458244e-05,0.000892095133241541,"negative","Metabolomics"
"SM","Factor7",0.000215379669760137,0.00150765768832096,"negative","Metabolomics"
"PC","Factor7",0.00143333821119188,0.00668891165222876,"negative","Metabolomics"
"PE","Factor8",1.83001437715403e-09,2.56202012801564e-08,"negative","Metabolomics"
"Dipeptides","Factor8",1.36875551091999e-07,1.91625771528798e-06,"positive","Metabolomics"
"PC","Factor8",0.0003243101993681,0.00211535034389201,"negative","Metabolomics"
"LPC","Factor8",0.000347419365778563,0.00243193556044994,"positive","Metabolomics"
"TG","Factor8",0.00956564690460263,0.0334797641661092,"negative","Metabolomics"
"O-PC","Factor9",4.57745904668311e-06,3.20422133267818e-05,"positive","Metabolomics"
"SM","Factor9",4.16283862691927e-06,3.20422133267818e-05,"positive","Metabolomics"
"LPC","Factor9",1.3970475760955e-05,6.51955535511233e-05,"positive","Metabolomics"
"DG","Factor9",6.06416621405643e-05,0.000212245817491975,"positive","Metabolomics"
"PE","Factor9",6.82207709758748e-05,0.000955090793662247,"negative","Metabolomics"
"LPE","Factor9",0.00131599101764835,0.00307064570784614,"positive","Metabolomics"
"TG","Factor9",0.00234838455342107,0.00469676910684214,"positive","Metabolomics"
"Amino acids","Factor9",0.00174168297388504,0.0081278538781302,"negative","Metabolomics"
"O-PE","Factor9",0.00490850182246973,0.00858987818932203,"positive","Metabolomics"
