"feature_set","factor","pval","padj","sign","view"
"GOBP_CELLULAR_RESPONSE_TO_PEPTIDE","Factor1",2.00242014841649e-08,1.42372072552413e-05,"positive","Phosphoproteomics"
"GOBP_CELLULAR_RESPONSE_TO_HORMONE_STIMULUS","Factor1",5.53628579004308e-08,1.96814959836031e-05,"positive","Phosphoproteomics"
"GOBP_RESPONSE_TO_PEPTIDE","Factor1",3.40511324430704e-07,8.07011838900769e-05,"positive","Phosphoproteomics"
"GOBP_RESPONSE_TO_HORMONE","Factor1",1.21075001432523e-06,0.00021521081504631,"positive","Phosphoproteomics"
"GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS","Factor1",2.19484676151709e-06,0.000222933721062664,"positive","Phosphoproteomics"
"GOBP_RESPONSE_TO_INSULIN","Factor1",2.19484676151709e-06,0.000222933721062664,"positive","Phosphoproteomics"
"GOCC_TRANSPORTER_COMPLEX","Factor1",1.98069922799887e-06,0.000222933721062664,"positive","Phosphoproteomics"
"GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS","Factor1",1.66294593236451e-05,0.00147794319738896,"positive","Phosphoproteomics"
"GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND","Factor1",2.30903760257714e-05,0.00164172573543235,"positive","Phosphoproteomics"
"GOCC_PLASMA_MEMBRANE_PROTEIN_COMPLEX","Factor1",2.20731438009133e-05,0.00164172573543235,"positive","Phosphoproteomics"
"GOMF_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","Factor1",3.58306789202236e-05,0.00219782362311232,"positive","Phosphoproteomics"
"GOMF_TRANSPORTER_ACTIVITY","Factor1",3.70940695883937e-05,0.00219782362311232,"positive","Phosphoproteomics"
"GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_NAD_P_H","Factor1",9.33826581877572e-05,0.00510731307473041,"positive","Phosphoproteomics"
"GOBP_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND","Factor1",0.000131892913219954,0.00625172408662582,"positive","Phosphoproteomics"
"GOMF_PRIMARY_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","Factor1",0.000130323697823094,0.00625172408662582,"positive","Phosphoproteomics"
"GOCC_SARCOLEMMA","Factor1",0.000229295847748205,0.0101893342343108,"positive","Phosphoproteomics"
"GOBP_CELLULAR_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND","Factor1",0.000462892942134261,0.0193598165798506,"positive","Phosphoproteomics"
"GOBP_RESPONSE_TO_NITROGEN_COMPOUND","Factor1",0.000501758175592257,0.0198194479358941,"positive","Phosphoproteomics"
"GOBP_MAINTENANCE_OF_LOCATION","Factor1",0.000966561326026691,0.0361697422528935,"positive","Phosphoproteomics"
"GOCC_MEMBRANE_PROTEIN_COMPLEX","Factor10",3.88754288179027e-05,0.0276404298895288,"negative","Phosphoproteomics"
"GOBP_REGULATION_OF_HEMOPOIESIS","Factor2",4.75806405778983e-06,0.00338298354508857,"positive","Phosphoproteomics"
"GOBP_EMBRYO_DEVELOPMENT","Factor2",0.00018362021063863,0.0483891715414159,"positive","Phosphoproteomics"
"GOBP_EMBRYONIC_MORPHOGENESIS","Factor2",0.000251076404425308,0.0483891715414159,"positive","Phosphoproteomics"
"GOBP_REGULATION_OF_CELL_ADHESION","Factor2",0.000272231626112045,0.0483891715414159,"positive","Phosphoproteomics"
"GOBP_GLYCOLYTIC_PROCESS","Factor3",1.40387109074939e-15,9.98152345522819e-13,"negative","Phosphoproteomics"
"GOBP_PYRUVATE_METABOLIC_PROCESS","Factor3",9.80840574183663e-14,3.48688824122292e-11,"negative","Phosphoproteomics"
"GOBP_CARBOHYDRATE_CATABOLIC_PROCESS","Factor3",2.36441286058187e-10,5.60365847957903e-08,"negative","Phosphoproteomics"
