"feature_set","factor","pval","padj","sign","view"
"GOCC_BLOOD_MICROPARTICLE","Factor1",2.77491522507113e-13,1.70379794819367e-10,"negative","Redox"
"GOBP_IMMUNE_EFFECTOR_PROCESS","Factor1",5.61281911236454e-07,0.000172313546749591,"negative","Redox"
"GOBP_PEPTIDE_TRANSPORT","Factor1",3.76030935881133e-06,0.000769609982103384,"negative","Redox"
"GOBP_REGULATION_OF_HORMONE_SECRETION","Factor1",2.05185911595324e-05,0.00314960374298822,"negative","Redox"
"GOBP_AMIDE_TRANSPORT","Factor1",0.000100600311709451,0.0123537182779206,"negative","Redox"
"GOBP_HORMONE_TRANSPORT","Factor1",0.000148151114031181,0.0151607973358576,"negative","Redox"
"GOBP_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS","Factor1",0.000184844362856649,0.0162134912562832,"negative","Redox"
"GOBP_POSITIVE_REGULATION_OF_SIGNALING","Factor1",0.000297603016550694,0.0228410315202658,"negative","Redox"
"GOBP_RESPONSE_TO_LIPID","Factor1",0.000354388257953151,0.0241771544870261,"negative","Redox"
"GOBP_CARBOHYDRATE_HOMEOSTASIS","Factor1",0.000573694819895775,0.0338293034108644,"negative","Redox"
"GOBP_LIPID_LOCALIZATION","Factor1",0.000606062438956853,0.0338293034108644,"negative","Redox"
"GOBP_MULTICELLULAR_ORGANISMAL_LEVEL_HOMEOSTASIS","Factor1",0.000758986241246681,0.0388347960104552,"negative","Redox"
"GOBP_REGULATION_OF_PROTEIN_SECRETION","Factor1",0.000890087456526207,0.0408656648266477,"negative","Redox"
"GOMF_SIGNALING_RECEPTOR_BINDING","Factor1",0.000931790403213465,0.0408656648266477,"negative","Redox"
"GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS","Factor1",0.00108635994407156,0.0444683337106627,"negative","Redox"
"GOBP_POSITIVE_REGULATION_OF_GENE_EXPRESSION","Factor1",0.00152013448692165,0.0583351609356184,"negative","Redox"
"GOBP_CHEMICAL_HOMEOSTASIS","Factor1",0.00191331810283513,0.069104547949457,"negative","Redox"
"GOBP_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY","Factor1",0.00212560040408313,0.0725065915615024,"negative","Redox"
"GOBP_REGULATION_OF_HORMONE_LEVELS","Factor1",0.0024012673271799,0.077598849415182,"negative","Redox"
"GOBP_REGULATION_OF_BODY_FLUID_LEVELS","Factor1",0.00256436935599286,0.0787261392289809,"negative","Redox"
"GOBP_PROTEIN_LOCALIZATION_TO_EXTRACELLULAR_REGION","Factor1",0.00298031229034052,0.0831778066485944,"negative","Redox"
"GOMF_GLYCOSAMINOGLYCAN_BINDING","Factor1",0.00289290772353888,0.0831778066485944,"negative","Redox"
"GOBP_SIGNAL_RELEASE","Factor1",0.00333994811527192,0.0891620931642157,"negative","Redox"
"GOCC_ENDOPLASMIC_RETICULUM_LUMEN","Factor1",0.0039356901864281,0.100688073936119,"negative","Redox"
"GOBP_NEGATIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS","Factor1",0.00423257578765995,0.103952061344928,"negative","Redox"
"GOBP_HEMOSTASIS","Factor1",0.00459115923947782,0.108421991270745,"negative","Redox"
"GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM","Factor1",0.00495959290738227,0.11034952695347,"negative","Redox"
"GOBP_EMBRYONIC_MORPHOGENESIS","Factor1",0.00521194834145053,0.11034952695347,"negative","Redox"
