"feature_set","factor","pval","padj","sign","view"
"GOCC_CILIUM","Factor1",0.000230320090560683,0.135428213249682,"positive","Transcriptomics"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE","Factor1",0.000682180934965303,0.200561194879799,"positive","Transcriptomics"
"GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY","Factor1",0.00139659682528814,0.273732977756476,"positive","Transcriptomics"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS","Factor1",0.00235087122342843,0.345578069843979,"positive","Transcriptomics"
"GOBP_LEUKOCYTE_CELL_CELL_ADHESION","Factor1",0.003927079658369,0.461824567824194,"positive","Transcriptomics"
"GOBP_LEUKOCYTE_MEDIATED_IMMUNITY","Factor1",0.00623735483086358,0.52393780579254,"positive","Transcriptomics"
"GOBP_MYELOID_CELL_DIFFERENTIATION","Factor1",0.00579880591940746,0.52393780579254,"positive","Transcriptomics"
"GOBP_T_CELL_PROLIFERATION","Factor1",0.00730178422000636,0.536681140170467,"positive","Transcriptomics"
"GOBP_LEUKOCYTE_PROLIFERATION","Factor1",0.0123562899486772,0.72654984898222,"positive","Transcriptomics"
"GOBP_REGULATION_OF_LEUKOCYTE_PROLIFERATION","Factor1",0.0114290560795565,0.72654984898222,"positive","Transcriptomics"
"GOBP_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE","Factor1",0.0167543191243915,0.895594513194743,"positive","Transcriptomics"
"GOBP_PEPTIDYL_AMINO_ACID_MODIFICATION","Factor1",0.0196561197518445,0.909597301938897,"positive","Transcriptomics"
"GOBP_SENSORY_PERCEPTION_OF_LIGHT_STIMULUS","Factor1",0.0201101444306219,0.909597301938897,"positive","Transcriptomics"
"GOMF_CALCIUM_ION_BINDING","Factor1",0.0016323752904275,0.959836670771368,"negative","Transcriptomics"
"GOBP_POSITIVE_REGULATION_OF_CELL_ACTIVATION","Factor1",0.0411531706192766,0.960288295657005,"positive","Transcriptomics"
"GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","Factor1",0.177877943616284,0.960288295657005,"positive","Transcriptomics"
"GOBP_POSITIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS","Factor1",0.0401029492974994,0.960288295657005,"positive","Transcriptomics"
"GOBP_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS","Factor1",0.0396142406321987,0.960288295657005,"positive","Transcriptomics"
"GOBP_APOPTOTIC_SIGNALING_PATHWAY","Factor1",0.213237929533621,0.960288295657005,"positive","Transcriptomics"
"GOBP_CALCIUM_ION_TRANSPORT","Factor1",0.253041222743863,0.960288295657005,"positive","Transcriptomics"
"GOBP_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION","Factor1",0.256713386849069,0.960288295657005,"positive","Transcriptomics"
"GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE","Factor1",0.147005521721199,0.960288295657005,"positive","Transcriptomics"
"GOBP_CELL_GROWTH","Factor1",0.106583991136846,0.960288295657005,"positive","Transcriptomics"
"GOBP_CELLULAR_HOMEOSTASIS","Factor1",0.050858062053548,0.960288295657005,"positive","Transcriptomics"
"GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS","Factor1",0.0310676977660074,0.960288295657005,"positive","Transcriptomics"
"GOBP_CELLULAR_RESPONSE_TO_LIPID","Factor1",0.17781788266725,0.960288295657005,"positive","Transcriptomics"
"GOBP_CHEMICAL_HOMEOSTASIS","Factor1",0.210669286106439,0.960288295657005,"positive","Transcriptomics"
"GOBP_DEFENSE_RESPONSE","Factor1",0.173156632718939,0.960288295657005,"positive","Transcriptomics"
"GOBP_ENDOCYTOSIS","Factor1",0.18105237070314,0.960288295657005,"positive","Transcriptomics"
"GOBP_FEEDING_BEHAVIOR","Factor1",0.134601535882018,0.960288295657005,"positive","Transcriptomics"
"GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY","Factor1",0.168908642712634,0.960288295657005,"positive","Transcriptomics"
"GOBP_HEMOPOIESIS","Factor1",0.0374470973144482,0.960288295657005,"positive","Transcriptomics"
"GOBP_HOMEOSTATIC_PROCESS","Factor1",0.190193533984919,0.960288295657005,"positive","Transcriptomics"
