phase	vial_label	tmt11_channel	tmt_plex
PASS1B-06	90245017702	126C	S1
PASS1B-06	90229017702	127N	S1
PASS1B-06	90571017702	127C	S1
PASS1B-06	90432017702	128N	S1
PASS1B-06	90578017702	128C	S1
PASS1B-06	90441017702	129N	S1
PASS1B-06	90406017702	129C	S1
PASS1B-06	90289017702	130N	S1
PASS1B-06	90251017702	130C	S1
PASS1B-06	90227017702	131N	S1
PASS1B-06	Plex_1_BLANK_131C	131C	S1
PASS1B-06	Plex_1_BLANK_132N	132N	S1
PASS1B-06	Plex_1_Female_TT_1	132C	S1
PASS1B-06	Plex_1_Female_TT_2	133N	S1
PASS1B-06	Plex_1_Male_TT_1	133C	S1
PASS1B-06	Plex_1_Male_TT_2	134N	S1
PASS1B-06	90248017702	126C	S2
PASS1B-06	90231017702	127N	S2
PASS1B-06	90569017702	127C	S2
PASS1B-06	90421017702	128N	S2
PASS1B-06	90576017702	128C	S2
PASS1B-06	90444017702	129N	S2
PASS1B-06	90408017702	129C	S2
PASS1B-06	90290017702	130N	S2
PASS1B-06	90254017702	130C	S2
PASS1B-06	90234017702	131N	S2
PASS1B-06	Plex_2_BLANK_131C	131C	S2
PASS1B-06	Plex_2_BLANK_132N	132N	S2
PASS1B-06	Plex_2_Female_TT_1	132C	S2
PASS1B-06	Plex_2_Female_TT_2	133N	S2
PASS1B-06	Plex_2_Male_TT_1	133C	S2
PASS1B-06	Plex_2_Male_TT_2	134N	S2
PASS1B-06	90252017702	126C	S3
PASS1B-06	90232017702	127N	S3
PASS1B-06	90559017702	127C	S3
PASS1B-06	90422017702	128N	S3
PASS1B-06	90574017702	128C	S3
PASS1B-06	90445017702	129N	S3
PASS1B-06	90410017702	129C	S3
PASS1B-06	90292017702	130N	S3
PASS1B-06	90267017702	130C	S3
PASS1B-06	90225017702	131N	S3
PASS1B-06	Plex_3_BLANK_131C	131C	S3
PASS1B-06	Plex_3_BLANK_132N	132N	S3
PASS1B-06	Plex_3_Female_TT_1	132C	S3
PASS1B-06	Plex_3_Female_TT_2	133N	S3
PASS1B-06	Plex_3_Male_TT_1	133C	S3
PASS1B-06	Plex_3_Male_TT_2	134N	S3
PASS1B-06	90265017702	126C	S4
PASS1B-06	90237017702	127N	S4
PASS1B-06	90560017702	127C	S4
PASS1B-06	90423017702	128N	S4
PASS1B-06	90581017702	128C	S4
PASS1B-06	90449017702	129N	S4
PASS1B-06	90412017702	129C	S4
PASS1B-06	90280017702	130N	S4
PASS1B-06	90255017702	130C	S4
PASS1B-06	90223017702	131N	S4
PASS1B-06	Plex_4_BLANK_131C	131C	S4
PASS1B-06	Plex_4_BLANK_132N	132N	S4
PASS1B-06	Plex_4_Female_TT_1	132C	S4
PASS1B-06	Plex_4_Female_TT_2	133N	S4
PASS1B-06	Plex_4_Male_TT_1	133C	S4
PASS1B-06	Plex_4_Male_TT_2	134N	S4
PASS1B-06	90266017702	126C	S5
PASS1B-06	90239017702	127N	S5
PASS1B-06	90567017702	127C	S5
PASS1B-06	90426017702	128N	S5
PASS1B-06	90585017702	128C	S5
PASS1B-06	90450017702	129N	S5
PASS1B-06	90416017702	129C	S5
PASS1B-06	90281017702	130N	S5
PASS1B-06	90258017702	130C	S5
PASS1B-06	90222017702	131N	S5
PASS1B-06	Plex_5_BLANK_131C	131C	S5
PASS1B-06	Plex_5_BLANK_132N	132N	S5
PASS1B-06	Plex_5_Female_TT_1	132C	S5
PASS1B-06	Plex_5_Female_TT_2	133N	S5
PASS1B-06	Plex_5_Male_TT_1	133C	S5
PASS1B-06	Plex_5_Male_TT_2	134N	S5
PASS1B-06	90256017702	126C	S6
PASS1B-06	90217017702	127N	S6
PASS1B-06	90564017702	127C	S6
PASS1B-06	90430017702	128N	S6
PASS1B-06	90587017702	128C	S6
PASS1B-06	90439017702	129N	S6
PASS1B-06	90420017702	129C	S6
PASS1B-06	90283017702	130N	S6
PASS1B-06	90259017702	130C	S6
PASS1B-06	90218017702	131N	S6
PASS1B-06	Plex_6_BLANK_131C	131C	S6
PASS1B-06	Plex_6_BLANK_132N	132N	S6
PASS1B-06	Plex_6_Female_TT_1	132C	S6
PASS1B-06	Plex_6_Female_TT_2	133N	S6
PASS1B-06	Plex_6_Male_TT_1	133C	S6
PASS1B-06	Plex_6_Male_TT_2	134N	S6
