vial_label	tmt11_channel	tmt_plex
90227015507	126C	S1
90571015507	127N	S1
90450015507	127C	S1
90406015507	128N	S1
90281015507	128C	S1
90256015503	129N	S1
90423015507	129C	S1
90251015507	130N	S1
90229015507	130C	S1
90576015507	131N	S1
Ref_S1	131C	S1
90237015507	126C	S2
90410015507	127N	S2
90441015507	127C	S2
90585015507	128N	S2
90223015507	128C	S2
90567015507	129N	S2
90292015507	129C	S2
90267015507	130N	S2
90421015507	130C	S2
90248015507	131N	S2
Ref_S2	131C	S2
90231015503	126C	S3
90569015503	127N	S3
90430015507	127C	S3
90254015507	128N	S3
90444015507	128C	S3
90574015503	129N	S3
90280015507	129C	S3
90265015507	130N	S3
90218015507	130C	S3
90420015507	131N	S3
Ref_S3	131C	S3
90259015507	126C	S4
90432015503	127N	S4
90581015507	127C	S4
90283015507	128N	S4
90252015507	128C	S4
90232015507	129N	S4
90408015503	129C	S4
90225015513	130N	S4
90564015507	130C	S4
90439015507	131N	S4
Ref_S4	131C	S4
90266015507	126C	S5
90445015503	127N	S5
90560015507	127C	S5
90426015507	128N	S5
90416015507	128C	S5
90289015507	129N	S5
90587015507	129C	S5
90234015503	130N	S5
90255015503	130C	S5
90217015507	131N	S5
Ref_S5	131C	S5
90559015507	126C	S6
90222015507	127N	S6
90412015507	127C	S6
90422015507	128N	S6
90578015507	128C	S6
90449015507	129N	S6
90258015507	129C	S6
90290015503	130N	S6
90245015507	130C	S6
90239015507	131N	S6
Ref_S6	131C	S6
