phase	vial_label	tmt11_channel	tmt_plex
PASS1B-06	90227015507	126C	S1
PASS1B-06	90571015507	127N	S1
PASS1B-06	90450015507	127C	S1
PASS1B-06	90406015507	128N	S1
PASS1B-06	90281015507	128C	S1
PASS1B-06	90256015503	129N	S1
PASS1B-06	90423015507	129C	S1
PASS1B-06	90251015507	130N	S1
PASS1B-06	90229015507	130C	S1
PASS1B-06	90576015507	131N	S1
PASS1B-06	Ref_S1	131C	S1
PASS1B-06	90237015507	126C	S2
PASS1B-06	90410015507	127N	S2
PASS1B-06	90441015507	127C	S2
PASS1B-06	90585015507	128N	S2
PASS1B-06	90223015507	128C	S2
PASS1B-06	90567015507	129N	S2
PASS1B-06	90292015507	129C	S2
PASS1B-06	90267015507	130N	S2
PASS1B-06	90421015507	130C	S2
PASS1B-06	90248015507	131N	S2
PASS1B-06	Ref_S2	131C	S2
PASS1B-06	90231015503	126C	S3
PASS1B-06	90569015503	127N	S3
PASS1B-06	90430015507	127C	S3
PASS1B-06	90254015507	128N	S3
PASS1B-06	90444015507	128C	S3
PASS1B-06	90574015503	129N	S3
PASS1B-06	90280015507	129C	S3
PASS1B-06	90265015507	130N	S3
PASS1B-06	90218015507	130C	S3
PASS1B-06	90420015507	131N	S3
PASS1B-06	Ref_S3	131C	S3
PASS1B-06	90259015507	126C	S4
PASS1B-06	90432015503	127N	S4
PASS1B-06	90581015507	127C	S4
PASS1B-06	90283015507	128N	S4
PASS1B-06	90252015507	128C	S4
PASS1B-06	90232015507	129N	S4
PASS1B-06	90408015503	129C	S4
PASS1B-06	90225015513	130N	S4
PASS1B-06	90564015507	130C	S4
PASS1B-06	90439015507	131N	S4
PASS1B-06	Ref_S4	131C	S4
PASS1B-06	90266015507	126C	S5
PASS1B-06	90445015503	127N	S5
PASS1B-06	90560015507	127C	S5
PASS1B-06	90426015507	128N	S5
PASS1B-06	90416015507	128C	S5
PASS1B-06	90289015507	129N	S5
PASS1B-06	90587015507	129C	S5
PASS1B-06	90234015503	130N	S5
PASS1B-06	90255015503	130C	S5
PASS1B-06	90217015507	131N	S5
PASS1B-06	Ref_S5	131C	S5
PASS1B-06	90559015507	126C	S6
PASS1B-06	90222015507	127N	S6
PASS1B-06	90412015507	127C	S6
PASS1B-06	90422015507	128N	S6
PASS1B-06	90578015507	128C	S6
PASS1B-06	90449015507	129N	S6
PASS1B-06	90258015507	129C	S6
PASS1B-06	90290015503	130N	S6
PASS1B-06	90245015507	130C	S6
PASS1B-06	90239015507	131N	S6
PASS1B-06	Ref_S6	131C	S6
