Input name	Standardized name	Formula	Exact mass	Super class	Main class	 Sub class
1-Methylhistidine	1-Methylhistidine	169.0851	C7H11N3O2	Organic acids	Amino acids and peptides	Amino acids
1-Methyladenosine	1-Methyladenosine	281.1124	C11H15N5O4	Nucleic acids	Purines	Purine ribonucleosides
1-Methylhistamine	1-Methylhistamine	125.0953	C6H11N3	Alkaloids	Histidine alkaloids	Imidazole alkaloids
1-Methyl nicotinamide	1-Methyl nicotinamide	137.0715	C7H9N2O	Alkaloids	Nicotinic acid alkaloids	Pyridine alkaloids
11,12-DiHETrE	11,12-DiHETrE	338.2457	C20H34O4	Fatty Acyls	Eicosanoids	HETrE
11,12-EpETrE	11,12-EpETrE	320.2351	C20H32O3	Fatty Acyls	Eicosanoids	EpETrE
12-HETE	12-HETE	320.2351	C20H32O3	Fatty Acyls	Eicosanoids	HETE
13-HODE	13-HODE	296.2351	C18H32O3	Fatty Acyls	Octadecanoids	HODE
13-HpODE	13-HpODE	312.2301	C18H32O4	Fatty Acyls	Octadecanoids	HpODE
13-Oxo-ODE	13-Oxo-ODE	294.2195	C18H30O3	Fatty Acyls	Octadecanoids	KODE
13S-HOTrE(gamma)	13S-HOTrE(gamma)	294.2195	C18H30O3	Fatty Acyls	Octadecanoids	HOTrE
14,15-DiHETrE	14,15-DiHETrE	338.2457	C20H34O4	Fatty Acyls	Eicosanoids	HETrE
14,15-EpETrE	14,15-EpETrE	320.2351	C20H32O3	Fatty Acyls	Eicosanoids	EpETrE
Deoxyadenosine	Deoxyadenosine	251.1018	C10H13N5O3	Nucleic acids	Purines	Purine deoxyribonucleosides
Deoxycytidine	Deoxycytidine	227.0906	C9H13N3O4	Nucleic acids	Pyrimidines	Pyrimidine deoxyribonucleosides
2-Hydroxyglutaric acid	2-Hydroxyglutaric acid	148.0372	C5H8O5	Fatty Acyls	Fatty acids	Dicarboxylic acids
2-Acetylpyrrolidine	2-Acetylpyrrolidine	113.0841	C6H11NO	Alkaloids	Ornithine alkaloids	Pyrrolidine alkaloids
Aminoisobutyric acid	Aminoisobutyric acid	103.0633	C4H9NO2	Fatty Acyls	Fatty acids	Amino FA
2-Deoxy-glucose	2-Deoxy-glucose	164.0685	C6H12O5	Carbohydrates	Monosaccharides	Hexoses
2-Hydroxybutyric acid	2-Hydroxybutyric acid	104.0473	C4H8O3	Fatty Acyls	Fatty acids	Hydroxy FA
Phosphoglyceric acid	Phosphoglyceric acid	185.9929	C3H7O7P	Organic acids	Short-chain acids	Short-chain acids
2-Piperidinone	2-Piperidinone	99.0684	C5H9NO	Organoheterocyclic compounds	Piperidinones	Piperidinones
20-HETE	20-HETE	320.2351	C20H32O3	Fatty Acyls	Eicosanoids	HETE
21-Deoxycortisol	21-Deoxycortisol	346.2144	C21H30O4	Sterol Lipids	Steroids	C21 Steroids
Protocatechuic acid	Protocatechuic acid	154.0266	C7H6O4	Polyketides	Phenolic acids	Phenolic acids
3-(1-pyrazolyl)-alanine	3-(1-Pyrazolyl)-alanine	155.0695	C6H9N3O2	Organic acids	Amino acids and peptides	Amino acids
