refseq_peptide	description	rgd_id	uniprot_gn_id
AP_004898	mitochondrially encoded cytochrome c oxidase III	621873	P05505, Q7H115
AP_004900	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L	620494	P05507, Q7H113
NP_001000000	olfactory receptor family 2 subfamily Y member 1E	1332792	A0A8I5ZRR2
NP_001000001	olfactory receptor family 2 subfamily Y member 1G	1333402	A0A8I6G8R3
NP_001000002	olfactory receptor family 2 subfamily Y member 13	735025	F1MAI1
NP_001000003	olfactory receptor family 2 subfamily Y member 11	1332806	A0A8I5ZR60, D4A2R4
NP_001000004	olfactory receptor family 1 subfamily X member 2	1332843	D4AB86
NP_001000005	olfactory receptor family 1 subfamily AD member 8	1333856	A0A8I5ZV43
NP_001000006	olfactory receptor family 2 subfamily T member 47D	1333736	A0A8I6ABE8
NP_001000007	olfactory receptor family 2 subfamily T member 48D	1332615	A0A8I5ZQW4
NP_001000008	olfactory receptor family 2 subfamily T member 48	1333061	A0A8I6AUD3, D3ZF09
NP_001000009	olfactory receptor family 2 subfamily T member 48E	1332603	A0A8I6AN08
NP_001000010	olfactory receptor family 2 subfamily T member 47	1332670	M0R499
NP_001000011	olfactory receptor 1428	1333013	A0A8I6A580
NP_001000013	olfactory receptor family 2 subfamily AK member 6E	1333938	M0RAV4
NP_001000014	olfactory receptor family 2 subfamily AK member 4	1332835	M0R8H1
NP_001000015	olfactory receptor family 2 subfamily AK member 6C	1332708	M0R438
NP_001000016	olfactory receptor family 2 subfamily AK member 6	1334096	M0RB30
NP_001000017	olfactory receptor family 2 subfamily AK member 5D	1332945	D3ZIL2
NP_001000018	olfactory receptor family 2 subfamily AK member 4E	1333051	D3ZTS7
NP_001000019	olfactory receptor family 2 subfamily AK member 5	1333911	A0A8I6ACJ5
NP_001000020	olfactory receptor 1454	1333852	A0A8I5ZZJ2
NP_001000021	olfactory receptor family 5 subfamily AF member 1	1332948	D3ZS00
NP_001000022	olfactory receptor family 9 subfamily E member 1B	1333085	A0A8I6GKU2
NP_001000023	olfactory receptor family 2 subfamily AA member 1	1333969	D4A522
NP_001000024	olfactory receptor family 1 subfamily E member 1	1333989	A0A8I6A849
NP_001000025	olfactory receptor family 1 subfamily E member 1C	1334228	A0A8I5XVL2
NP_001000026	olfactory receptor family 1 subfamily E member 16	1333012	A0A8I5ZZE7
NP_001000028	olfactory receptor family 1 subfamily E member 23	1333644	A0A8I6A2D8
NP_001000032	olfactory receptor 1505	1334253	A0A8I6ARG2
NP_001000033	olfactory receptor family 1 subfamily R member 1	1333058	D4A4S6
NP_001000034	olfactory receptor family 3 subfamily A member 1F	1333146	D4A0C0
NP_001000035	olfactory receptor family 1 subfamily A member 1	1332685	D4A706
NP_001000036	olfactory receptor family 1 subfamily A member 1B	1334436	D3ZFE0
NP_001000038	olfactory receptor family 1 subfamily P member 1	1333482	M0R8S5
NP_001000039	olfactory receptor family 4 subfamily D member 2B	1332601	A0A8I6ABQ4
NP_001000040	olfactory receptor family 4 subfamily D member 2B	1332601	D3ZLG7
NP_001000042	olfactory receptor family 2 subfamily L member 13	1333362	D3ZT66
NP_001000043	olfactory receptor family 2 subfamily L member 13C	1333712	M0R908, Q5USB7
NP_001000044	olfactory receptor family 1 subfamily O member 4	1333622	A0A8I6AN82
NP_001000045	olfactory receptor 1564	1333068	A0A8I5ZU28
NP_001000046	olfactory receptor 1563	1332816	A0A8I6AM27
NP_001000048	olfactory receptor family 5 subfamily K member 8	1332965	D4AAE1
NP_001000049	olfactory receptor family 5 subfamily K member 16	1333528	M0R9V0
NP_001000050	olfactory receptor family 5 subfamily H member 17C	1332995	A0A8I6B5F8
NP_001000051	olfactory receptor family 5 subfamily H member 17	1332847	A0A8I6AT02
NP_001000052	olfactory receptor family 5 subfamily H member 24B	1333231	A0A8I6A327
NP_001000054	olfactory receptor 876	1333924	A0A8I5ZP21
NP_001000056	olfactory receptor family 6 subfamily C member 201	1334220	D3ZZ74
NP_001000057	olfactory receptor family 6 subfamily C member 6I	1334098	M0RDX5
NP_001000058	olfactory receptor family 6 subfamily C member 208	1334410	A0A8I6AB67
NP_001000059	olfactory receptor family 6 subfamily C member 1H	1333014	D3ZJN8
NP_001000061	olfactory receptor family 6 subfamily C member 88	1334433	D3ZHW4
NP_001000062	olfactory receptor family 9 subfamily K member 7	1333941	D4A7M1
NP_001000063	olfactory receptor family 9 subfamily K member 2B	1334409	D4A7L2
NP_001000064	olfactory receptor family 6 subfamily C member 33	1332732	D3ZJQ3
NP_001000065	olfactory receptor family 10 subfamily U member 3	1333516	D4AE38
NP_001000066	olfactory receptor family 6 subfamily C member 69	1332810	D3Z997
NP_001000067	olfactory receptor family 6 subfamily C member 216	1332632	D3ZFB7
NP_001000068	olfactory receptor family 6 subfamily C member 208	1334410	D4A1A8
NP_001000069	olfactory receptor family 6 subfamily C member 211	1333194	A0A8I5ZRX7
NP_001000070	olfactory receptor family 10 subfamily P member 1	1332909	A0A8I6AN67, D4A5I0
NP_001000071	olfactory receptor family 6 subfamily C member 7	1332702	A0A8I5ZLZ6
NP_001000072	olfactory receptor family 6 subfamily C member 70	1333363	D3ZBF0
NP_001000073	olfactory receptor 951	1333468	D3ZYB2
NP_001000074	olfactory receptor 952	1334201	A0A0G2JW42
NP_001000075	olfactory receptor family 6 subfamily C member 68	1333022	D3ZH49
NP_001000076	olfactory receptor family 6 subfamily C member 6B	1334418	D3Z9Q0
NP_001000077	olfactory receptor family 6 subfamily C member 213C	1334395	A0A8I6GKE7
NP_001000078	olfactory receptor family 10 subfamily J member 7	1332648	A0A8I6ANT0, D3ZNH5
NP_001000079	olfactory receptor family 10 subfamily J member 3	1333672	A0A8I5ZS83
NP_001000080	olfactory receptor family 10 subfamily J member 3B	1333448	D4A1L4
NP_001000083	olfactory receptor family 6 subfamily N member 1	1334435	D4A926
NP_001000084	olfactory receptor family 6 subfamily K member 6	1333957	D3ZSH4
NP_001000085	olfactory receptor family 6 subfamily K member 14B	1332672	D3ZSH2
NP_001000086	olfactory receptor family 10 subfamily X member 1	1333184	D3ZDB8, D3ZJI0
NP_001000087	olfactory receptor family 6 subfamily P member 1	1332986	D4A0A9
NP_001000088	olfactory receptor family 2 subfamily T member 35	1333947	A0A8I6A1I2
NP_001000089	olfactory receptor family 4 subfamily N member 5	1334059	D3ZUX8
NP_001000090	olfactory receptor family 4 subfamily K member 15C	1334431	D3ZSE2
NP_001000091	olfactory receptor family 4 subfamily K member 15	1334431	A0A8I6AQJ4
NP_001000093	olfactory receptor family 4 subfamily K member 2	1333964	A0A8I6AQ95
NP_001000094	olfactory receptor family 4 subfamily N member 4	1333453	D4A090
NP_001000096	olfactory receptor family 4 subfamily M member 1	1333393	D4A089
NP_001000097	olfactory receptor family 11 subfamily G member 2	1333151	D3ZAM2
NP_001000099	olfactory receptor family 10 subfamily G member 3	1334263	D3ZVH4
NP_001000100	olfactory receptor family 10 subfamily G member 1B	1333427	Q62944
NP_001000101	olfactory receptor family 4 subfamily E member 2	1334197	D4AE91
NP_001000102	olfactory receptor family 4 subfamily E member 14	1333503	A0A8I6ACP5
NP_001000103	olfactory receptor family 6 subfamily E member 1	1333203	A0A8I6AET3
NP_001000104	olfactory receptor family 14 subfamily P member 1	1334058	D4ACW2
NP_001000105	olfactory receptor family 2 subfamily W member 2	1333681	F1M3A7
NP_001000106	olfactory receptor family 2 subfamily AD member 1	1333109	F1M2D1
NP_001000107	olfactory receptor family 2 subfamily W member 1	1334041	A0A8I5ZU47
NP_001000108	olfactory receptor family 7 subfamily C member 19	1333226	D3ZDG9
NP_001000110	olfactory receptor family 10 subfamily AM member 5	1332869	D3ZYT7
NP_001000111	olfactory receptor family 6 subfamily Z member 3	1332771	D3ZHS4, M0R4S8
NP_001000113	olfactory receptor family 6 subfamily Z member 3	1332771	A0A8I6AGY2
NP_001000114	olfactory receptor family 5 subfamily AE member 1	1334373	A0A8I6AM62
NP_001000115	olfactory receptor family 5 subfamily AE member 1	1334373	A0A8I6AM62
NP_001000116	olfactory receptor family 6 subfamily F member 1	1334399	D3ZQU0
NP_001000117	olfactory receptor family 6 subfamily A member A1B	1333281	D3Z9H0
NP_001000118	olfactory receptor family 14 subfamily N member 1	1332905	D3ZX88
NP_001000119	olfactory receptor family 14 subfamily C member 43	1332664	A0A8I6A6E8
NP_001000120	olfactory receptor family 14 subfamily C member 39B	1333057	D3ZRY4
NP_001000121	olfactory receptor 35	1333428	M0RC72, Q5RJS1
NP_001000122	olfactory receptor family 52 subfamily M member 1	1333547	D4ACV2
NP_001000123	olfactory receptor family 52 subfamily M member 2	1334009	F1M7E1
NP_001000124	olfactory receptor family 52 subfamily K member 2	1333028	D4ACI2
NP_001000125	olfactory receptor family 52 subfamily P member 2	1333531	D4ACI1
NP_001000126	olfactory receptor family 52 subfamily B member 4	1334081	D4A4P2
NP_001000127	olfactory receptor family 55 subfamily B member 10	1334204	D4A044
NP_001000128	olfactory receptor family 55 subfamily B member 4	1333356	M0RBN5
NP_001000129	olfactory receptor family 51 subfamily A member 39, pseudogene 1	1334421	A0A8I6GEK7
NP_001000130	olfactory receptor family 51 subfamily F member 23C, pseudogene 1	1333218	A0A0G2JUQ7
NP_001000132	olfactory receptor family 51 subfamily S member 1	1333161	D3ZYQ5
NP_001000133	olfactory receptor family 51 subfamily A member 7	1333806	D3ZID6
NP_001000134	olfactory receptor family 52 subfamily R member 1C	1332815	D4AC44
NP_001000135	olfactory receptor family 51 subfamily L member 1	1333532	D4ABJ3
NP_001000137	olfactory receptor family 52 subfamily S member 1	1333158	D3ZVA3
NP_001000138	olfactory receptor family 52 subfamily E member 3	1333207	D4AA74
NP_001000139	olfactory receptor family 52 subfamily AB member 4	1333576	M0RDW4
NP_001000140	olfactory receptor family 52 subfamily AD member 1	1333961	D4A9T4
NP_001000141	olfactory receptor family 52 subfamily S member 19	1333424	D4A9S9
NP_001000143	olfactory receptor family 52 subfamily AE member 7B	1334262	D3ZY06
NP_001000144	olfactory receptor family 52 subfamily AE member 7	1333435	D3ZCE8
NP_001000145	olfactory receptor family 51 subfamily AF member 1	1333997	D4AD74
NP_001000147	olfactory receptor family 51 subfamily AA member 2	1334302	D4AD64
NP_001000148	olfactory receptor family 51 subfamily AB member 3	1334037	F1M857
NP_001000149	olfactory receptor family 51 subfamily AH member 3	1332894	D4ACT9
NP_001000150	olfactory receptor family 52 subfamily Z member 14	1334238	A0A8I5ZXV7
NP_001000151	olfactory receptor family 51 subfamily V member 14	1333416	D4ABE4
NP_001000152	olfactory receptor family 52 subfamily AE member 8	1334316	A0A8I6AFQ6
NP_001000153	olfactory receptor family 51 subfamily B member 6B	1334425	D4A8A3
NP_001000154	olfactory receptor family 51 subfamily V member 8	1334212	D3ZJB3
NP_001000155	olfactory receptor family 52 subfamily AE member 8B	1332659	D3ZV48
NP_001000156	olfactory receptor family 52 subfamily A member 20	1334424	D3ZKU2
NP_001000158	olfactory receptor family 52 subfamily A member 5B	1333008	D3ZEX5
NP_001000160	olfactory receptor family 51 subfamily K member 7	1333481	D3ZCZ7
NP_001000161	olfactory receptor family 51 subfamily Q member 1	1333861	M0R8C9
NP_001000162	olfactory receptor family 51 subfamily Q member 1E	1333861	D3ZLF3
NP_001000163	olfactory receptor family 51 subfamily I member 2	1332767	D3ZLR2
NP_001000164	olfactory receptor family 51 subfamily A member 10	1333953	D3ZLN8
NP_001000165	olfactory receptor family 52 subfamily D member 1	1333972	D3ZLM3
NP_001000166	olfactory receptor family 52 subfamily H member 1	1333715	D4A3P2
NP_001000167	olfactory receptor family 52 subfamily H member 7	1332939	D4A7N0
NP_001000168	olfactory receptor family 52 subfamily U member 1	1332954	A0A8I6A7L0
NP_001000169	olfactory receptor family 52 subfamily P member 1	1334093	A0A8I6AQJ0
NP_001000170	olfactory receptor family 52 subfamily N member 4	1333201	M0R856
NP_001000172	olfactory receptor family 52 subfamily N member 4E	1332871	M0R4X5
NP_001000173	olfactory receptor family 56 subfamily B member 2K	1332985	M0R9G0
NP_001000174	olfactory receptor family 52 subfamily N member 4D	1333841	D3ZF02
NP_001000175	olfactory receptor family 52 subfamily N member 1	1333881	M0R9Z9
NP_001000176	olfactory receptor family 52 subfamily N member 3	1333974	D3ZB08
NP_001000177	olfactory receptor family 52 subfamily N member 2	1332903	A0A8I6AUV7
NP_001000178	olfactory receptor family 52 subfamily N member 2E	1332638	A0A8I5ZSA4
NP_001000179	olfactory receptor family 52 subfamily E member 18	1333263	D4A3G5
NP_001000180	olfactory receptor family 52 subfamily E member 8	1334364	D3ZXV3
NP_001000181	olfactory receptor family 52 subfamily E member 15C	1333157	D3Z9U9
NP_001000182	olfactory receptor family 52 subfamily E member 8B	1333955	D4A3G1
NP_001000183	olfactory receptor family 52 subfamily E member 7	1332841	D4A3F2
NP_001000184	olfactory receptor family 52 subfamily E member 5	1332760	D3ZXV7
NP_001000185	olfactory receptor family 56 subfamily A member 3B	1332887	A0A8I5ZP40
NP_001000186	olfactory receptor family 56 subfamily A member 3B	1332887	A0A8I5Y599, D4A7I0
NP_001000187	olfactory receptor family 52 subfamily L member 1	1332776	D3ZUQ4
NP_001000189	olfactory receptor family 56 subfamily B member 6B	1334048	D3ZMC9
NP_001000190	olfactory receptor family 52 subfamily B member 1	1333229	F1M5N0
NP_001000192	olfactory receptor family 2 subfamily AG member 16	1334348	A0A8I6GJJ0
NP_001000193	olfactory receptor family 2 subfamily AG member 16B	1333885	A0A8I6ARP8
NP_001000194	olfactory receptor family 2 subfamily AG member 18	1333636	D3ZFV2
