protein_id	organism_name	gene_symbol	entrez_id	redundant_ids	percent_coverage	protein_score	num_peptides	is_contaminant	Plex_1_BLANK_131C	Plex_1_BLANK_132N	Plex_1_Female_TT_1	Plex_1_Female_TT_2	Plex_1_Male_TT_1	Plex_1_Male_TT_2	Plex_2_BLANK_131C	Plex_2_BLANK_132N	Plex_2_Female_TT_1	Plex_2_Female_TT_2	Plex_2_Male_TT_1	Plex_2_Male_TT_2	Plex_3_BLANK_131C	Plex_3_BLANK_132N	Plex_3_Female_TT_1	Plex_3_Female_TT_2	Plex_3_Male_TT_1	Plex_3_Male_TT_2	Plex_4_BLANK_131C	Plex_4_BLANK_132N	Plex_4_Female_TT_1	Plex_4_Female_TT_2	Plex_4_Male_TT_1	Plex_4_Male_TT_2	Plex_5_BLANK_131C	Plex_5_BLANK_132N	Plex_5_Female_TT_1	Plex_5_Female_TT_2	Plex_5_Male_TT_1	Plex_5_Male_TT_2	Plex_6_BLANK_131C	Plex_6_BLANK_132N	Plex_6_Female_TT_1	Plex_6_Female_TT_2	Plex_6_Male_TT_1	Plex_6_Male_TT_2	X90217017702	X90218017702	X90222017702	X90223017702	X90225017702	X90227017702	X90229017702	X90231017702	X90232017702	X90234017702	X90237017702	X90239017702	X90245017702	X90248017702	X90251017702	X90252017702	X90254017702	X90255017702	X90256017702	X90258017702	X90259017702	X90265017702	X90266017702	X90267017702	X90280017702	X90281017702	X90283017702	X90289017702	X90290017702	X90292017702	X90406017702	X90408017702	X90410017702	X90412017702	X90416017702	X90420017702	X90421017702	X90422017702	X90423017702	X90426017702	X90430017702	X90432017702	X90439017702	X90441017702	X90444017702	X90445017702	X90449017702	X90450017702	X90559017702	X90560017702	X90564017702	X90567017702	X90569017702	X90571017702	X90574017702	X90576017702	X90578017702	X90581017702	X90585017702	X90587017702
Contaminant_A2A5Y0	Rattus norvegicus	NA	NA	Contaminant_A2A5Y0,NP_001008819.1,XP_006247454.1	3.125	2.4428e-14	1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.5187416618567	NA	13.9741752561028	14.5369350035166	14.6322818497758	14.5043764552279	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.5830304524008	NA	NA	NA	NA	NA	NA	14.193306660433	NA	NA	NA	NA	NA	NA	14.8048464422941	NA	NA	NA	14.6410181662828	NA	NA	17.5304269129148	NA	NA	NA	NA	NA	NA	NA	NA	15.3952345469944	NA	NA	NA	NA	14.6662417589406	NA	NA	NA	NA	NA	NA	NA	16.7881250308232	NA	NA	14.1845685516803	NA	NA	NA	NA	NA	NA	NA	14.3367708344342	NA	NA
Contaminant_ALBU_HUMAN	Rattus norvegicus	NA	NA	Contaminant_ALBU_HUMAN,Contaminant_P02768-1	7.38916256157635	1.7965e-17	4	TRUE	15.9387932401481	17.425696175221	24.2596075173967	24.5208883935229	24.537778285098	24.3974099296051	15.1248123568765	NA	25.8283989534451	25.2774025164279	24.6781529034427	24.9206570546807	NA	13.8407651406625	23.9456094589035	23.8337326466836	24.3718949563232	23.7269004573527	18.6422215951353	14.0060656755727	25.8856166717159	26.2106353040851	26.9350059445043	27.1548777675743	17.1837865588128	14.6323551318035	23.5696681615682	23.6385456616258	23.8065533133147	23.7798896470953	15.8577956423814	16.7073173368935	23.9199231287941	23.9401195527416	24.5144536246279	24.1951225516106	24.8841993123785	25.0273195095787	23.9268212533562	26.8159206067041	24.3109754177738	24.6908258218734	24.6345655687261	25.2536598746434	24.4312257478443	24.9684308165015	26.2893189136341	23.9939964016989	24.4751384019672	24.5891163419875	24.6710979032524	24.3184595576346	25.4650490604855	26.0015393456694	24.3832713113782	23.8644793374557	24.6913185043875	26.4390054589226	23.8801497412757	24.194188254193	27.3437208912996	23.8753244217348	24.683757207739	24.2828896662216	24.2647224551979	24.189346004748	24.346223669253	24.7773435392062	24.0312629922703	26.229352581959	23.8015312995494	24.617524020121	24.6292948923442	24.3918760759679	27.1558648045391	24.0448762214489	24.8860353010469	24.1041422815278	25.2181025634387	24.2101272530342	24.1294125936653	24.0505648445237	27.0402895941277	23.9623198510225	23.8947952350813	26.0484908339727	24.3466824327135	23.8821872856177	25.6559935204955	24.6097048763712	24.2519074794002	24.3296089964928	24.4016498574007	26.2876176580159	23.7120618118129	24.1107337724243
Contaminant_K1C10_HUMAN	Rattus norvegicus	NA	NA	Contaminant_K1C10_HUMAN,Contaminant_P13645	19.7301854974705	1.2152e-14	14	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.1893103218571	15.410068697719	22.9017236006008	22.8711859534951	23.0115487931234	23.0536563961078	12.6787277666334	15.5468962680771	23.1881208492921	23.1582147466353	23.6083649673352	23.3349000906456	NA	NA	20.4935107400604	20.4837935025911	20.4335367967226	20.5792833487612	16.344578523612	15.841409800083	22.9258465540882	22.9407336068595	22.7175197601148	22.9689128572623	23.8862646646253	23.8300263762007	20.3139240666672	23.3664282127029	22.8782772125383	NA	NA	NA	23.5693345778661	NA	23.9706367442208	20.121574859969	NA	NA	NA	23.2846623520831	NA	23.2188751622001	22.8229237784207	19.9738637603012	22.8155128864068	22.8623072502484	20.2790977158405	24.9885038612773	22.99890663777	20.0376964405149	24.5809515242332	NA	NA	23.3004227848445	NA	NA	23.0829569790984	23.2469591311185	19.9457192422093	22.8068889802193	NA	23.8669535204106	23.5082232259396	20.0612797212194	25.8997379795219	NA	22.948449122302	NA	NA	22.8316186952511	25.1870705008154	20.1399765272621	22.8862146586592	23.572447846426	23.3251270579819	20.3863728246867	NA	NA	22.6091835930037	NA	NA	23.5159997298192	19.8175366049268	23.0637263757255
Contaminant_K1C9_HUMAN	Rattus norvegicus	NA	NA	Contaminant_K1C9_HUMAN,Contaminant_P35527	7.86516853932584	1.5385e-16	5	TRUE	NA	NA	17.3943484722654	18.0206493087194	17.3334886379717	17.2269003030661	NA	NA	NA	NA	NA	NA	10.0765751278377	11.6270732793498	16.7725263175974	17.2436317277108	16.6371397970066	18.6328403182881	12.7396835831599	13.2198370643708	19.337082767853	19.1737429070213	20.7221783073742	19.7986211142859	NA	NA	NA	NA	NA	NA	10.7946676661445	13.2157331916433	17.8670501629501	18.8969298944485	18.3284177122468	19.0916036158647	19.5544513667332	19.3228765109255	NA	19.3378028894981	17.4909770537771	16.9620370940873	17.7509229059491	NA	17.6223464387791	NA	18.933967161137	NA	16.8192614013133	NA	16.5816642980631	17.0904032662876	NA	19.940804521491	18.8373238598012	NA	18.545434850963	19.0651225209042	NA	18.3082862738819	18.490307116234	NA	19.1087922215773	16.7713365154976	NA	17.4196458704001	16.6413620047345	NA	19.4283066382894	20.4204715935836	NA	19.1341837064074	NA	17.9130961522799	20.2544297976047	NA	19.4022730141784	16.9776855350035	19.2559454812373	16.6246696771101	NA	17.3141087818522	19.792684536924	NA	17.5841331500776	19.785465096155	19.7822443801468	NA	NA	17.7221038857082	16.9495639994619	NA	16.6130639641599	19.622762825625	NA	20.0438701095997
Contaminant_K22E_HUMAN	Rattus norvegicus	NA	NA	Contaminant_K22E_HUMAN,Contaminant_P35908	24.3410852713178	3.4138e-23	12	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.64657670998039	11.8102703724199	20.6059092172929	20.5976198994837	20.6617183321128	20.6571523402609	13.5505856754415	15.5753244456024	21.9659536786738	21.8919980190157	22.4805078227882	22.1465850918868	NA	NA	NA	NA	NA	NA	15.0184692678169	15.4669491961584	22.4084334386255	22.459076249961	22.2960883128748	22.2946710067363	22.8006437197073	22.9019279773184	NA	22.3080402284636	20.7769948933903	NA	NA	NA	21.0310884731703	NA	22.4839174601237	NA	NA	NA	NA	20.7778140393811	NA	22.0787262166552	22.3029538966492	NA	22.4017187923998	21.8220871128485	NA	22.0040236003993	21.7542592919018	NA	23.2667686751159	NA	NA	20.7610220742983	NA	NA	20.4677323140333	22.0796761453416	NA	22.3808374400558	NA	21.3812704641743	22.5325091057105	NA	25.0846117581124	NA	22.6567093852767	NA	NA	20.3646543190937	24.2529732857628	NA	20.6024947393824	22.2220311987933	22.9166310715815	NA	NA	NA	20.2195880273235	NA	NA	22.4328459146457	NA	22.6053354282788
Contaminant_K2C1_HUMAN	Rattus norvegicus	NA	NA	Contaminant_K2C1_HUMAN,Contaminant_P04264	29.8600311041991	1.9375e-16	18	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.6412254530904	16.7434268970962	24.1868918136283	24.321214515833	24.1250550999851	25.0411615949547	17.1114772263315	18.4410898282616	24.4250291599312	24.4987427660584	24.8992294190114	24.3665025578648	NA	NA	NA	NA	NA	NA	17.0620093402615	12.7819600284493	24.241330578424	24.3317079307748	23.987423395176	24.6281660546054	25.4976088958128	25.520685942548	NA	24.3737738764799	24.5085825013982	NA	NA	NA	24.4467954597549	NA	24.7095451265616	NA	NA	NA	NA	24.4879440743056	NA	24.6034105032586	24.255967886286	NA	24.3797692656085	24.2745463688836	NA	25.7236330963849	24.0810992285083	NA	25.6111198103794	NA	NA	24.5710762280214	NA	NA	24.460783444783	24.8059224398295	NA	24.5711500963031	NA	25.0228081361383	24.7085821215113	NA	26.3096988019769	NA	24.6028551263579	NA	NA	24.3784631650051	25.26446679442	NA	24.2791716448904	24.6767142890239	25.409352079999	NA	NA	NA	24.1076384348277	NA	NA	24.5889397749491	NA	25.3646814007294
Contaminant_O76014	Rattus norvegicus	NA	NA	Contaminant_O76014,Contaminant_O76015	4.67091295116773	7.7879e-10	1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.758722191481	19.9762329457259	20.6564317767336	20.673075404839	NA	NA	NA	NA	NA	NA	NA	NA	19.9747218781898	NA	NA	NA	NA	NA	NA	NA	NA	19.7643903044321	NA	NA	NA	NA	NA	NA	NA	19.4445520843392	NA	NA	19.7960730317483	NA	NA	19.8091411303106	NA	NA	NA	NA	NA	NA	NA	NA	19.7649917131576	NA	NA	NA	NA	19.6767118617835	NA	NA	NA	NA	NA	NA	NA	19.5465903504448	NA	NA	NA	19.898042051042	NA	NA	NA	NA	NA	NA	19.7679912853516	NA
Contaminant_P00761	Rattus norvegicus	NA	NA	Contaminant_P00761,Contaminant_TRYP_PIG	83.982683982684	3.5411e-36	88	TRUE	21.4058908798529	21.5705499180391	30.6671506061635	30.5348974308182	30.3481140908191	30.2733401664206	21.8886200333499	21.4225834946835	30.1181508811018	30.430240880689	30.2862122656721	30.4926339749356	20.5235628078943	21.781858211475	30.4182713526474	30.2802888739342	30.4269836380584	30.4041930004762	21.9167610497391	22.4973299423115	30.5018514752187	30.6318497344578	30.6674933818124	30.6062562332763	21.6649269972066	21.5373140941967	30.3869274817353	30.4474809996357	30.5096664935939	30.5012476957109	22.4138986847214	21.9676169278676	30.1187617380393	30.8399001545723	30.6054950630283	30.5737128199516	30.5211426930226	30.5835738242627	30.5006824723682	30.7662361984761	30.2877814942926	30.5777673465653	30.3617239799665	30.5342350938689	30.0414658281882	30.4329735790746	30.4534815204455	30.3066926153283	30.1859006065812	30.412321377501	30.3671511399141	30.1651365787144	30.44333362818	30.6055065776332	30.3729928551285	30.4843053623895	30.5527481914543	30.4145271378599	30.3329537343204	30.2510786605479	30.5441480791782	30.3969379181223	30.6080216998466	30.3249160049391	30.4769364860491	30.3639620615298	30.2392635363114	30.4415478514554	30.1807717446845	30.3974346797408	30.4853674100485	30.512377850857	30.5830069010863	30.2468048608098	30.4153183367832	30.3751911147749	30.5539171633188	30.2107002824892	30.5520877232	30.085883716603	30.3834486098226	30.1925364270295	30.5003863225674	30.3913631819691	30.2581079438034	30.3624006466079	30.4512492568048	30.5335760009602	30.5058021152064	30.2720291958898	30.1865097243459	30.4897550056777	30.2851207500451	30.4597594024829	30.4573480348367	30.5113660926127
Contaminant_P02769	Rattus norvegicus	NA	NA	Contaminant_P02769	6.42504118616145	3.2584e-17	4	TRUE	10.5860610102598	17.8617366632304	25.7365687603118	25.9700845311622	26.0067904654108	25.7784524901034	18.5729370990108	17.9454047415195	26.5958645361521	27.2320460179331	26.518997942991	26.6354056239296	14.1777480936804	14.5868286487747	23.6743229125285	23.731627553524	23.9662860384822	23.5110423469851	15.7589955827964	18.5009080342326	25.9497392410632	26.2409613522082	26.4410654650627	26.8586198749936	17.6678923330708	18.6690349687343	26.9645170434033	27.1714767009755	27.4185185275418	27.1855794976512	13.5637575554212	15.6780617237038	25.6904695795265	25.9221912479231	26.4695937574712	26.1875629658392	26.9175117910047	27.1256173877221	27.8348981689019	26.7876235677793	23.8028064248176	26.5930441648578	26.6988081841119	27.5873424100243	23.9148589542048	27.5611949332206	26.6211504063664	27.4331122310069	26.2823754705715	27.1930127849133	26.5857799458429	23.8254925373179	27.5512543718415	26.2562071792417	26.0800976856948	27.1798491382266	26.7661884320263	26.6424138241508	27.62791882357	23.8672627511121	27.5550055310035	27.3277353823377	26.5877424477656	26.1327240432886	27.0465888833861	23.8099522919595	25.6286568335824	27.3430495754067	23.6169783340176	26.5426983856948	27.2655991224405	26.4850045279994	27.0653940724482	24.0843287522937	26.7547808748399	27.5461960477756	26.8695231849267	25.9317614352913	27.1181366814958	25.6499100436259	26.8344680270045	23.6037403628029	27.0644360722945	27.3499156270109	23.5543150023766	26.2896512798912	26.1329358595302	27.6010597604526	27.7188358039041	26.2878558716112	23.8616089338824	26.9259300044622	26.1243964499427	26.4594698247027	26.9572107168842	26.0972308441553
Contaminant_P07477	Rattus norvegicus	NA	NA	Contaminant_P07477	8.09716599190283	1.4604e-18	1	TRUE	12.0915808386194	15.5378841948189	21.1531132634214	21.1566714453914	21.0269983993147	20.9278964609607	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.2991650803959	15.6951358359711	22.9729267294731	22.8623249446598	22.6782909277403	22.8155121456765	15.0089100237055	16.9299575070384	23.1191110597641	23.1175676922179	23.0965985519349	22.8943911231344	22.439940839015	22.4249329182731	22.6450468660985	NA	NA	21.4361555009835	21.291807664517	NA	NA	NA	NA	22.6227381017115	21.1675759442229	NA	21.2917054974263	NA	NA	NA	22.5726600478175	22.6844534697086	22.4866824173491	NA	22.6779345811794	NA	NA	22.6749146845649	22.4211635242827	21.1448689374297	NA	NA	21.2325657079962	NA	NA	NA	22.7235224199264	22.6344569431832	NA	NA	NA	22.7382118405251	22.5205124158753	21.2120656174478	22.5125206976199	20.9896782233873	NA	NA	NA	22.75134523287	NA	NA	22.4254142474245	22.8120441510214	NA	21.2562034124106	NA	NA	21.2823376850583	NA	22.7796159172264	22.5743326134669
Contaminant_P13647	Rattus norvegicus	NA	NA	Contaminant_P13647	1.52542372881356	1.0904e-12	1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.1567420009783	17.4292981135514	17.6324736391433	18.2977047859812	17.8781227175035	NA	NA	NA	NA	NA	NA	12.4436144210239	9.57141136121185	16.4990922108862	17.0321220494392	17.0186698564477	17.3860950474573	18.5239966148582	17.7951470303528	NA	17.794944036897	NA	NA	NA	NA	NA	NA	17.6486034877468	NA	NA	NA	NA	NA	NA	17.6082787213264	16.853967269522	NA	16.8770052363386	17.3121302033545	NA	NA	17.4396661500147	NA	18.1554041343086	NA	NA	NA	NA	NA	NA	17.5763132410022	NA	17.1688201716574	NA	NA	17.8097484120783	NA	18.3294262813827	NA	17.4919363744992	NA	NA	NA	19.0724479289032	NA	NA	17.7206283717382	17.1882820704137	NA	NA	NA	NA	NA	NA	17.4421034281641	NA	17.4281490499062
Contaminant_P62894	Rattus norvegicus	NA	NA	Contaminant_P62894	17.1428571428571	9.9114e-11	1	TRUE	NA	NA	NA	NA	NA	NA	NA	15.6602045799366	21.7972221212946	21.8163558626216	21.9083768165804	22.0564437360797	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.576232712113	NA	22.6715342166446	NA	NA	NA	22.4207961301417	NA	NA	22.7800246346771	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.5350592788758	NA	NA	22.5292538230166	NA	NA	NA	NA	22.4239700009938	NA	NA	NA	NA	NA	NA	NA	22.3941526104548	NA	NA	NA	NA	NA	NA	NA	22.497153740541	NA	NA	22.5411859985711	NA	NA	NA	NA
Contaminant_Q05443	Rattus norvegicus	NA	NA	Contaminant_Q05443	2.33918128654971	4.1163e-11	1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.4154565807625	14.9526420675921	21.236058005592	21.5466507667826	21.2737112686826	21.603198351747	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.4790140155905	NA	NA	NA	NA	NA	NA	21.3437392705294	NA	NA	NA	NA	NA	NA	21.4421550606321	NA	NA	NA	21.5311775485328	NA	NA	21.9275086365513	NA	NA	NA	NA	NA	NA	NA	NA	21.3867500232091	NA	NA	NA	NA	21.6995776126831	NA	NA	NA	NA	NA	NA	NA	21.8160509645941	NA	NA	21.4255641573558	NA	NA	NA	NA	NA	NA	NA	21.5929875379564	NA	NA
Contaminant_Q0IIK2	Rattus norvegicus	NA	NA	Contaminant_Q0IIK2,Contaminant_Q29443	4.11931818181818	7.4532e-14	4	TRUE	17.0541149217425	17.1575435239084	18.499121999469	18.2176826616925	18.3238951373865	18.4549663247965	NA	NA	NA	NA	NA	NA	15.9918256232755	15.9641285185766	17.1404702302351	17.3980016152332	17.030740083774	17.2530033397537	NA	NA	NA	NA	NA	NA	17.5887199783452	17.7706064719747	18.8639037662092	19.155494411548	19.3031708097088	19.339110280743	NA	NA	NA	NA	NA	NA	NA	NA	19.6247276423459	NA	17.1918081740465	18.275550330775	18.3506857331518	NA	17.3472492806232	NA	NA	19.4114120939418	18.3686225350635	NA	18.2330958614347	16.9879809617135	NA	NA	NA	19.1407722413226	NA	NA	19.5919885809956	17.1798799404403	NA	19.3351548820924	NA	18.1896955825241	NA	17.0160253026583	18.3246784268106	NA	17.1352821250281	NA	19.1856868678165	NA	NA	17.0833702484825	NA	19.194721391516	NA	18.1828969044794	NA	18.2549475856612	NA	17.3343591907133	NA	19.3851226006567	17.2811572321959	NA	NA	19.693989473267	NA	18.3613116511162	17.1893740323366	NA	18.2979751897776	NA	19.186140457809	NA
